time	V(n002)	V(n003)
0.000000000000000e+00	2.500522e-06	2.500022e-06
4.932001741164881e-06	2.500522e-06	2.500022e-06
4.940403566945593e-06	1.327817e+00	2.697045e-06
4.947820637837749e-06	3.812170e+00	3.418086e-06
4.954534885834674e-06	5.000000e+00	4.584778e-06
4.974485030671752e-06	5.000000e+00	8.574802e-06
4.994435175508830e-06	5.000000e+00	1.256482e-05
5.014385320345908e-06	5.000000e+00	1.655484e-05
5.034335465182985e-06	5.000000e+00	2.054485e-05
5.054285610020063e-06	5.000000e+00	2.453486e-05
5.074235754857141e-06	5.000000e+00	2.852487e-05
5.094185899694219e-06	5.000000e+00	3.251487e-05
5.500000000000000e-05	4.999998e+00	1.000365e-02
5.550000000000000e-05	1.666665e+00	1.000345e-02
5.650000000000000e-05	-2.000110e-06	1.000305e-02
6.000000000000000e-05	-1.999830e-06	1.000165e-02
1.000000000000000e-04	-1.996631e-06	9.985656e-03
1.013800000000000e-04	-1.996521e-06	9.985104e-03
1.032200000000000e-04	1.270716e+00	1.002960e-02
1.050000000000000e-04	4.999998e+00	1.016165e-02
1.550000000000000e-04	4.999996e+00	2.013134e-02
1.555000000000000e-04	1.666663e+00	2.013094e-02
1.565000000000000e-04	-4.025527e-06	2.013014e-02
1.600000000000000e-04	-4.024963e-06	2.012732e-02
2.000000000000000e-04	-4.018525e-06	2.009512e-02
2.013800000000000e-04	-4.018303e-06	2.009401e-02
2.032200000000000e-04	1.270714e+00	2.013777e-02
2.050000000000000e-04	4.999996e+00	2.026910e-02
2.550000000000000e-04	4.999994e+00	3.021859e-02
2.555000000000000e-04	1.666661e+00	3.021798e-02
2.565000000000001e-04	-6.042855e-06	3.021677e-02
2.600000000000000e-04	-6.042008e-06	3.021254e-02
3.000000000000000e-04	-6.032344e-06	3.016422e-02
3.013800000000000e-04	-6.032011e-06	3.016255e-02
3.032200000000000e-04	1.270712e+00	3.020557e-02
3.050000000000000e-04	4.999994e+00	3.033618e-02
3.550000000000001e-04	4.999992e+00	4.026555e-02
3.555000000000001e-04	1.666659e+00	4.026474e-02
3.565000000000000e-04	-8.052126e-06	4.026313e-02
3.600000000000001e-04	-8.050998e-06	4.025749e-02
4.000000000000000e-04	-8.038121e-06	4.019310e-02
4.013800000000000e-04	-8.037677e-06	4.019089e-02
4.032200000000000e-04	1.270710e+00	4.023316e-02
4.050000000000000e-04	4.999992e+00	4.036306e-02
4.550000000000001e-04	4.999990e+00	5.027238e-02
4.555000000000001e-04	1.666657e+00	5.027138e-02
4.565000000000000e-04	-1.005337e-05	5.026937e-02
4.600000000000001e-04	-1.005196e-05	5.026232e-02
5.000000000000000e-04	-1.003589e-05	5.018194e-02
5.013799999999999e-04	-1.003533e-05	5.017916e-02
5.032200000000000e-04	1.270708e+00	5.022071e-02
5.050000000000000e-04	4.999990e+00	5.034989e-02
5.550000000000000e-04	4.999988e+00	6.023926e-02
5.555000000000000e-04	1.666655e+00	6.023805e-02
5.565000000000000e-04	-1.204663e-05	6.023564e-02
5.600000000000001e-04	-1.204494e-05	6.022720e-02
6.000000000000001e-04	-1.202568e-05	6.013088e-02
6.013799999999999e-04	-1.202501e-05	6.012756e-02
6.032199999999996e-04	1.270706e+00	6.016837e-02
6.050000000000001e-04	4.999988e+00	6.029684e-02
6.550000000000001e-04	4.999986e+00	7.016633e-02
6.555000000000000e-04	1.666653e+00	7.016492e-02
6.565000000000001e-04	-1.403192e-05	7.016211e-02
6.600000000000001e-04	-1.402996e-05	7.015228e-02
7.000000000000001e-04	-1.400752e-05	7.004008e-02
7.013800000000000e-04	-1.400674e-05	7.003622e-02
7.032199999999998e-04	1.270704e+00	7.007630e-02
7.050000000000000e-04	4.999986e+00	7.020407e-02
7.550000000000000e-04	4.999984e+00	8.005375e-02
7.555000000000000e-04	1.666651e+00	8.005214e-02
7.565000000000000e-04	-1.600929e-05	8.004894e-02
7.600000000000000e-04	-1.600705e-05	8.003774e-02
8.000000000000000e-04	-1.598144e-05	7.990972e-02
8.013799999999999e-04	-1.598056e-05	7.990531e-02
8.032199999999996e-04	1.270702e+00	7.994466e-02
8.050000000000001e-04	4.999984e+00	8.007173e-02
8.550000000000001e-04	4.999982e+00	8.990169e-02
8.555000000000000e-04	1.666649e+00	8.989988e-02
8.565000000000001e-04	-1.797876e-05	8.989629e-02
8.600000000000001e-04	-1.797624e-05	8.988370e-02
9.000000000000001e-04	-1.794749e-05	8.973994e-02
9.013799999999999e-04	-1.794650e-05	8.973499e-02
9.032199999999996e-04	1.270700e+00	8.977362e-02
9.050000000000001e-04	4.999982e+00	8.989999e-02
9.550000000000001e-04	4.999980e+00	9.971029e-02
9.555000000000001e-04	1.666647e+00	9.970830e-02
9.565000000000001e-04	-1.994036e-05	9.970431e-02
9.600000000000001e-04	-1.993757e-05	9.969035e-02
1.000000000000000e-03	-1.990568e-05	9.953091e-02
1.001380000000000e-03	-1.990458e-05	9.952541e-02
1.003219999999999e-03	1.270698e+00	9.956332e-02
1.005000000000000e-03	4.999980e+00	9.968898e-02
1.055000000000000e-03	4.999978e+00	1.094797e-01
1.055500000000000e-03	1.666645e+00	1.094775e-01
1.056500000000000e-03	-2.189413e-05	1.094732e-01
1.060000000000000e-03	-2.189107e-05	1.094578e-01
1.100000000000000e-03	-2.185605e-05	1.092828e-01
1.101380000000000e-03	-2.185485e-05	1.092767e-01
1.103220000000000e-03	1.270696e+00	1.093139e-01
1.105000000000000e-03	4.999978e+00	1.094389e-01
1.155000000000000e-03	4.999976e+00	1.192102e-01
1.155500000000000e-03	1.666643e+00	1.192078e-01
1.156500000000000e-03	-2.384010e-05	1.192030e-01
1.160000000000000e-03	-2.383676e-05	1.191863e-01
1.200000000000000e-03	-2.379864e-05	1.189957e-01
1.201380000000000e-03	-2.379732e-05	1.189891e-01
1.203220000000000e-03	1.270694e+00	1.190256e-01
1.205000000000000e-03	4.999976e+00	1.191499e-01
1.255000000000000e-03	4.999974e+00	1.289017e-01
1.255500000000000e-03	1.666641e+00	1.288991e-01
1.256500000000000e-03	-2.577830e-05	1.288940e-01
1.260000000000000e-03	-2.577469e-05	1.288759e-01
1.300000000000000e-03	-2.573346e-05	1.286698e-01
1.301380000000000e-03	-2.573204e-05	1.286627e-01
1.303220000000000e-03	1.270692e+00	1.286985e-01
1.305000000000000e-03	4.999974e+00	1.288221e-01
1.355000000000000e-03	4.999972e+00	1.385546e-01
1.355500000000000e-03	1.666639e+00	1.385518e-01
1.356500000000000e-03	-2.770875e-05	1.385463e-01
1.360000000000000e-03	-2.770487e-05	1.385269e-01
1.400000000000000e-03	-2.766056e-05	1.383053e-01
1.401380000000000e-03	-2.765903e-05	1.382977e-01
1.403220000000000e-03	1.270691e+00	1.383327e-01
1.405000000000000e-03	4.999972e+00	1.384556e-01
1.455000000000000e-03	4.999970e+00	1.481689e-01
1.455500000000000e-03	1.666637e+00	1.481659e-01
1.456500000000000e-03	-2.963150e-05	1.481600e-01
1.460000000000000e-03	-2.962735e-05	1.481392e-01
1.500000000000000e-03	-2.957996e-05	1.479023e-01
1.501380000000000e-03	-2.957833e-05	1.478941e-01
1.503220000000000e-03	1.270689e+00	1.479285e-01
1.505000000000000e-03	4.999970e+00	1.480507e-01
1.555000000000000e-03	4.999969e+00	1.577448e-01
1.555500000000000e-03	1.666635e+00	1.577416e-01
1.556500000000000e-03	-3.154657e-05	1.577353e-01
1.560000000000000e-03	-3.154215e-05	1.577132e-01
1.600000000000000e-03	-3.149170e-05	1.574610e-01
1.601380000000000e-03	-3.148996e-05	1.574523e-01
1.603220000000000e-03	1.270687e+00	1.574859e-01
1.605000000000000e-03	4.999969e+00	1.576075e-01
1.655000000000000e-03	4.999967e+00	1.672825e-01
1.655500000000000e-03	1.666633e+00	1.672791e-01
1.656500000000000e-03	-3.345398e-05	1.672724e-01
1.660000000000000e-03	-3.344930e-05	1.672490e-01
1.700000000000000e-03	-3.339580e-05	1.669815e-01
1.701380000000000e-03	-3.339396e-05	1.669723e-01
1.703220000000000e-03	1.270685e+00	1.670052e-01
1.705000000000000e-03	4.999967e+00	1.671261e-01
1.755000000000000e-03	4.999965e+00	1.767820e-01
1.755500000000000e-03	1.666631e+00	1.767785e-01
1.756500000000000e-03	-3.535379e-05	1.767714e-01
1.760000000000000e-03	-3.534884e-05	1.767467e-01
1.800000000000000e-03	-3.529230e-05	1.764640e-01
1.801380000000000e-03	-3.529035e-05	1.764542e-01
1.803220000000000e-03	1.270683e+00	1.764865e-01
1.805000000000000e-03	4.999965e+00	1.766067e-01
1.855000000000000e-03	4.999963e+00	1.862437e-01
1.855500000000000e-03	1.666629e+00	1.862400e-01
1.856500000000000e-03	-3.724600e-05	1.862325e-01
1.860000000000000e-03	-3.724078e-05	1.862064e-01
1.900000000000000e-03	-3.718122e-05	1.859086e-01
1.901380000000000e-03	-3.717917e-05	1.858983e-01
1.903220000000000e-03	1.270681e+00	1.859299e-01
1.905000000000000e-03	4.999963e+00	1.860494e-01
1.955000000000000e-03	4.999961e+00	1.956675e-01
1.955500000000000e-03	1.666628e+00	1.956636e-01
1.956500000000000e-03	-3.913066e-05	1.956558e-01
1.960000000000000e-03	-3.912518e-05	1.956284e-01
2.000000000000000e-03	-3.906260e-05	1.953155e-01
2.001380000000001e-03	-3.906045e-05	1.953047e-01
2.003220000000002e-03	1.270679e+00	1.953356e-01
2.005000000000000e-03	4.999961e+00	1.954544e-01
2.055000000000000e-03	4.999959e+00	2.050538e-01
2.055500000000000e-03	1.666626e+00	2.050497e-01
2.056500000000000e-03	-4.100779e-05	2.050415e-01
2.060000000000000e-03	-4.100205e-05	2.050127e-01
2.100000000000000e-03	-4.093647e-05	2.046849e-01
2.101380000000001e-03	-4.093421e-05	2.046736e-01
2.103220000000002e-03	1.270677e+00	2.047037e-01
2.105000000000000e-03	4.999959e+00	2.048219e-01
2.155000000000000e-03	4.999957e+00	2.144025e-01
2.155500000000000e-03	1.666624e+00	2.143982e-01
2.156500000000000e-03	-4.287743e-05	2.143896e-01
2.160000000000000e-03	-4.287142e-05	2.143596e-01
2.200000000000000e-03	-4.280285e-05	2.140168e-01
2.201380000000001e-03	-4.280049e-05	2.140049e-01
2.203220000000002e-03	1.270675e+00	2.140344e-01
2.205000000000000e-03	4.999957e+00	2.141519e-01
2.255000000000000e-03	4.999955e+00	2.237139e-01
2.255500000000000e-03	1.666622e+00	2.237094e-01
2.256500000000000e-03	-4.473959e-05	2.237005e-01
